Color,Size,Flavor,Packaging Type,Quantity
5,1,4,Bag,3591.0
29,1,3,Bag,3578.0
1,1,5,Bag,3561.0
11,3,12,Bag,3537.0
5,4,10,Bag,3518.0
1,5,3,Bag,3503.0
31,3,5,Bag,3485.0
40,1,7,Bag,3472.07894736842
5,5,9,Bag,3456.0
34,2,1,Bag,3439.0
11,2,9,Bag,3415.0
5,2,2,Bag,3411.394736842114
11,3,8,Bag,3406.0
17,5,12,Bag,3361.0
2,2,8,Bag,3359.0
30,2,8,Bag,3344.0
29,5,9,Bag,3288.0
2,5,12,Bag,3256.0
1,1,3,Bag,3246.4327485380163
17,1,9,Bag,3239.0
26,4,3,Bag,3236.6923076923267
26,1,7,Bag,3192.0
2,2,9,Bag,3173.0
34,3,9,Bag,3158.0
34,3,6,Bag,3149.0
15,4,10,Bag,3124.0
26,4,12,Bag,3101.0
31,3,10,Bag,3077.0
5,2,12,Bag,3076.0
31,4,5,Bag,3058.0
31,2,3,Bag,3055.0
31,3,1,Bag,3050.5
27,1,12,Bag,3046.0
17,3,8,Bag,3008.0
14,3,9,Bag,2993.0
11,1,8,Bag,2963.0
29,3,6,Bag,2961.0
30,5,6,Bag,2947.0
30,3,9,Bag,2944.0
26,5,6,Bag,2934.0
34,1,1,Bag,2848.0
31,3,8,Bag,2835.0
30,1,11,Bag,2833.0
15,5,12,Bag,2821.0
5,4,4,Bag,2789.0
26,3,9,Bag,2770.0
30,3,12,Bag,2736.0
2,5,2,Bag,2718.41071428571
35,4,9,Bag,2709.479999999996
26,2,7,Bag,2685.0
17,4,9,Bag,2680.0
30,1,7,Bag,2668.0
17,4,5,Bag,2659.262195121948
2,1,1,Bag,2618.0
31,1,8,Bag,2601.0
40,3,12,Bag,2590.9999999999854
29,3,12,Bag,2583.0
35,4,10,Bag,2578.0
30,5,10,Bag,2573.0
1,3,9,Bag,2567.0
1,2,7,Bag,2560.0
2,1,5,Bag,2551.0
1,5,8,Bag,2549.0
34,2,8,Bag,2523.0
5,3,6,Bag,2516.0
40,1,10,Bag,2492.0
2,3,4,Bag,2490.0
17,3,5,Bag,2483.0
27,5,6,Bag,2480.0
34,2,3,Bag,2478.0
34,5,8,Bag,2472.0
1,4,11,Bag,2464.0
5,5,2,Bag,2436.0
17,1,11,Bag,2418.0
27,2,7,Bag,2349.0
5,5,11,Bag,2317.0
34,4,9,Bag,2310.0
26,4,5,Bag,2303.0
6,4,10,Bag,2255.5000000000036
29,4,5,Bag,2255.0
26,2,6,Bag,2227.0
29,3,11,Bag,2216.0
17,2,9,Bag,2208.0
40,1,12,Bag,2206.0
2,4,1,Bag,2200.553571428569
11,3,10,Bag,2191.0
34,5,4,Bag,2166.0
2,3,11,Bag,2162.0
5,5,6,Bag,2149.0
30,3,11,Bag,2122.0
17,2,7,Bag,2106.0
2,4,6,Bag,2086.0
34,2,4,Bag,2070.0
26,1,12,Bag,2058.0
40,3,6,Bag,2024.0
31,2,12,Bag,2019.0
29,1,10,Bag,1987.0
17,2,11,Bag,1929.0
31,3,3,Bag,1921.0
2,5,6,Bag,1901.0
2,3,8,Bag,1899.0
11,1,7,Bag,1885.0
27,1,9,Bag,1876.0
5,3,8,Bag,1862.0
34,2,12,Bag,1851.0
1,1,4,Bag,1807.0
26,3,5,Bag,1772.0
17,5,10,Bag,1713.0
40,5,12,Bag,1701.0
31,2,6,Bag,1683.0
29,2,1,Bag,1679.0
27,3,9,Bag,1649.0
34,5,5,Bag,1639.0
2,2,5,Bag,1617.0
34,2,6,Bag,1549.0
40,1,9,Bag,1540.0
2,2,6,Bag,1531.0
27,4,7,Bag,1501.0
5,2,4,Bag,1467.0
14,5,12,Bag,1432.0
34,4,4,Bag,1422.0
11,1,6,Bag,1418.6111111111168
27,4,1,Bag,1416.0
29,1,7,Bag,1373.0
14,3,12,Bag,1373.0
26,2,11,Bag,1326.0
2,4,8,Bag,1303.0
26,2,3,Bag,1279.0
27,2,1,Bag,1224.7413793103478
27,5,7,Bag,1210.0
5,1,8,Bag,1207.0
40,4,7,Bag,1188.6500000000015
8,4,11,Bag,1157.0
2,4,9,Bag,1156.0
17,4,12,Bag,1131.0
2,3,5,Bag,1115.0
5,4,6,Bag,1074.0
1,4,5,Bag,1043.5185185185255
17,4,11,Bag,1034.0
27,5,9,Bag,1028.0
30,5,8,Bag,1025.0
2,2,3,Bag,1005.0
5,4,3,Bag,1002.0
11,3,7,Bag,919.1999999999971
30,2,4,Bag,883.1486486486538
27,5,12,Bag,862.0
1,5,7,Bag,859.0
27,4,9,Bag,842.0
30,4,9,Bag,600.3378378378438
40,3,5,Bag,536.0526315789466
8,4,9,Bag,359.1842105263204
8,3,9,Bag,175.29999999999927
2,3,9,Box,12635.0
1,3,3,Box,11681.80214424952
27,2,1,Box,10705.0
31,1,10,Box,10577.5
1,3,4,Box,10407.5
11,1,12,Box,10322.5
17,5,10,Box,9987.5
14,5,11,Box,9837.5
31,4,7,Box,9657.5
29,4,5,Box,9430.0
2,1,10,Box,9122.5
30,5,6,Box,8887.5
35,5,12,Box,8830.0
5,2,6,Box,8645.0
17,3,9,Box,8575.0
30,5,3,Box,8322.5
26,3,4,Box,8091.500000000015
2,5,6,Box,8042.5
17,2,12,Box,7912.499999999993
5,4,8,Box,7837.5
34,4,1,Box,7810.0
30,1,12,Box,7772.5
5,2,11,Box,7752.5
1,3,6,Box,7747.5
5,1,4,Box,7717.5
27,4,9,Box,7675.0
27,3,10,Box,7667.5
1,1,6,Box,7642.5
5,5,6,Box,7542.5
2,3,3,Box,7307.5
29,4,6,Box,7285.0
34,4,4,Box,7262.5
34,2,11,Box,7107.5
1,2,8,Box,7070.0
5,1,9,Box,7050.0
2,2,3,Box,7037.5
29,4,12,Box,7000.0
29,4,4,Box,6997.5
31,2,1,Box,6950.0
2,2,8,Box,6945.0
6,4,10,Box,6927.5
2,2,6,Box,6795.0
2,5,12,Box,6780.0
29,2,1,Box,6605.0
34,4,2,Box,6592.5
34,1,6,Box,6592.5
15,5,11,Box,6577.5
40,3,6,Box,6470.0
40,4,12,Box,6465.0
5,4,5,Box,6420.0
27,4,8,Box,6392.5
29,3,9,Box,6282.5
17,1,12,Box,6240.0
31,5,5,Box,6150.0
35,4,11,Box,6132.5
17,1,9,Box,6077.5
30,3,12,Box,6060.0
26,4,11,Box,6055.0
11,3,7,Box,6022.5
2,2,5,Box,5995.0
26,2,9,Box,5980.0
2,5,11,Box,5972.5
2,3,2,Box,5947.5
31,5,12,Box,5932.5
31,3,10,Box,5922.5
40,4,10,Box,5890.0
5,2,2,Box,5867.5
26,2,12,Box,5855.0
31,3,11,Box,5800.0
31,3,6,Box,5800.0
26,3,5,Box,5797.5
40,3,8,Box,5720.0
2,5,4,Box,5720.0
29,2,6,Box,5705.0
2,3,12,Box,5652.5
31,4,8,Box,5645.0
1,5,3,Box,5555.0
29,5,6,Box,5515.0
17,5,9,Box,5502.5
5,5,2,Box,5480.0
31,5,10,Box,5472.5
11,3,8,Box,5472.5
29,1,8,Box,5435.0
26,1,4,Box,5420.0
31,4,5,Box,5395.0
26,5,2,Box,5385.250000000007
30,2,10,Box,5362.5
2,2,7,Box,5347.5
5,1,7,Box,5337.5
27,2,4,Box,5245.0
31,4,11,Box,5195.0
2,4,12,Box,5142.5
5,4,2,Box,5120.0
27,1,9,Box,5100.0
17,3,8,Box,5097.5
26,3,12,Box,5080.0
27,5,9,Box,5032.5
40,3,7,Box,5007.5
1,4,6,Box,4995.0
31,2,12,Box,4990.0
26,2,3,Box,4945.0
27,5,10,Box,4937.5
34,1,1,Box,4930.0
5,5,9,Box,4925.0
1,1,11,Box,4920.0
26,2,8,Box,4912.5
2,1,12,Box,4902.5
1,5,10,Box,4895.0
30,5,11,Box,4827.5
31,3,5,Box,4777.5
14,3,10,Box,4767.5
29,1,6,Box,4755.0
27,2,11,Box,4727.5
1,5,1,Box,4715.0
2,2,4,Box,4652.5
31,3,3,Box,4632.5
34,4,9,Box,4620.0
11,1,11,Box,4617.5
2,3,6,Box,4615.0
11,2,11,Box,4612.5
8,3,10,Box,4612.5
2,1,3,Box,4612.5
26,3,11,Box,4600.0
11,2,10,Box,4600.0
2,5,2,Box,4585.0
29,2,7,Box,4577.5
11,5,10,Box,4570.0
40,5,12,Box,4562.5
29,3,2,Box,4555.0
30,3,8,Box,4550.0
5,3,11,Box,4525.0
5,2,9,Box,4495.0
30,1,8,Box,4475.0
1,2,10,Box,4447.5
29,2,3,Box,4427.5
17,4,7,Box,4395.0
26,3,7,Box,4380.0
27,3,8,Box,4377.5
40,5,9,Box,4347.5
26,1,7,Box,4347.5
40,4,8,Box,4312.5
29,3,10,Box,4285.0
29,5,12,Box,4250.0
5,5,7,Box,4222.5
5,1,5,Box,4215.0
34,2,5,Box,4150.0
26,4,5,Box,4132.5
30,5,2,Box,4082.5
26,1,10,Box,4080.0
1,1,5,Box,4075.0
5,4,12,Box,4037.5
29,4,9,Box,4025.0
34,4,6,Box,4022.5
30,3,11,Box,3992.5
34,4,10,Box,3987.5
17,4,11,Box,3987.5
30,5,5,Box,3982.5
5,1,11,Box,3967.5
34,3,8,Box,3905.0
30,4,10,Box,3890.0
27,1,10,Box,3880.0
14,3,9,Box,3877.5
1,5,12,Box,3875.0
26,5,10,Box,3872.5
35,4,12,Box,3867.5
34,1,5,Box,3867.5
29,5,9,Box,3827.5
14,4,10,Box,3822.5
26,5,6,Box,3817.5
8,4,11,Box,3815.0
27,4,7,Box,3810.0
27,5,7,Box,3797.5
30,2,6,Box,3750.0
29,3,12,Box,3747.5
34,5,10,Box,3737.5
34,5,8,Box,3735.0
27,3,12,Box,3732.5
17,3,10,Box,3720.0
29,3,4,Box,3662.5
31,3,8,Box,3657.5
26,4,6,Box,3655.0
2,4,9,Box,3652.5
26,4,3,Box,3650.0
5,5,11,Box,3640.0
30,4,12,Box,3635.0
5,5,4,Box,3607.5
5,3,6,Box,3585.0
31,1,5,Box,3550.0
1,2,12,Box,3537.5
11,2,8,Box,3522.5
29,5,8,Box,3505.0
15,5,12,Box,3502.5
34,3,4,Box,3492.5
14,3,12,Box,3492.5
40,1,10,Box,3475.0
27,3,7,Box,3472.5
14,4,11,Box,3462.5
5,4,1,Box,3435.0
34,5,11,Box,3432.5
27,3,6,Box,3410.0
1,3,12,Box,3399.999999999971
1,1,3,Box,3395.0
34,1,4,Box,3390.0
30,1,10,Box,3375.0
2,3,11,Box,3367.5
11,3,10,Box,3362.5
2,2,9,Box,3352.5
29,1,2,Box,3350.0
40,3,9,Box,3325.0
2,1,1,Box,3325.0
29,4,7,Box,3322.5
29,1,12,Box,3320.0
27,3,9,Box,3307.5
27,4,12,Box,3295.0
31,1,4,Box,3287.5
34,2,7,Box,3267.5
29,1,3,Box,3262.5
15,2,9,Box,3252.5
5,2,5,Box,3240.0
17,2,6,Box,3200.0
30,2,8,Box,3195.0
17,1,6,Box,3152.5
26,5,11,Box,3147.5
29,3,11,Box,3142.5
26,2,5,Box,3127.5
15,4,10,Box,3127.5
34,4,7,Box,3125.0
8,4,10,Box,3120.0
17,3,3,Box,3115.0
2,4,1,Box,3097.5
5,3,12,Box,3095.0
5,1,3,Box,3082.5
31,5,4,Box,3060.0
1,4,5,Box,3060.0
5,2,10,Box,3042.5
29,1,7,Box,3012.5
14,4,8,Box,2997.5
29,1,10,Box,2960.0
26,5,5,Box,2940.0
34,1,9,Box,2930.0
26,3,6,Box,2905.0
27,5,6,Box,2875.0
27,4,4,Box,2875.0
11,3,11,Box,2870.0
5,3,7,Box,2865.0
29,2,10,Box,2857.5
11,3,12,Box,2840.0
5,3,5,Box,2810.0
34,4,8,Box,2767.5
31,5,9,Box,2767.5
31,5,11,Box,2762.5
5,5,3,Box,2750.0
34,3,6,Box,2735.0
27,1,11,Box,2722.5
31,1,7,Box,2717.5
11,2,9,Box,2717.5
31,1,12,Box,2712.4999999999854
29,3,8,Box,2710.0
1,3,7,Box,2710.0
34,4,12,Box,2705.0
34,1,12,Box,2705.0
40,3,10,Box,2672.5
1,5,9,Box,2650.0
30,3,10,Box,2615.0
5,3,4,Box,2615.0
31,1,11,Box,2600.0
26,1,5,Box,2595.0
2,4,10,Box,2535.0
31,4,6,Box,2515.0
31,2,4,Box,2502.5
2,2,11,Box,2497.5
29,4,10,Box,2485.0
17,3,4,Box,2477.5
35,4,9,Box,2465.0
31,4,10,Box,2445.0
29,1,11,Box,2435.0
26,4,9,Box,2435.0
31,3,4,Box,2415.0
26,1,9,Box,2402.5
30,1,9,Box,2382.5
27,4,3,Box,2382.5
8,4,12,Box,2377.5
8,3,12,Box,2362.5
27,4,1,Box,2357.5
27,2,12,Box,2335.0
26,4,4,Box,2335.0
2,1,2,Box,2320.0
27,5,5,Box,2310.0
29,1,5,Box,2287.5
40,1,9,Box,2280.0
1,1,10,Box,2280.0
30,5,10,Box,2272.5
40,1,7,Box,2270.0
31,1,6,Box,2267.5
34,3,12,Box,2265.0
31,2,7,Box,2250.0
27,2,3,Box,2247.5
34,1,7,Box,2230.0
27,2,10,Box,2230.0
27,4,10,Box,2222.5
35,5,11,Box,2220.199999999997
5,4,10,Box,2212.5
2,4,8,Box,2207.5
26,1,11,Box,2205.0
17,3,5,Box,2202.5
2,3,8,Box,2200.0
30,5,1,Box,2195.0
2,4,11,Box,2192.5
2,4,6,Box,2152.5
26,1,8,Box,2135.0
34,3,3,Box,2127.5
29,5,5,Box,2125.0
17,5,11,Box,2125.0
17,1,11,Box,2120.0
1,1,7,Box,2117.5
1,2,3,Box,2110.0
1,5,4,Box,2087.5
17,1,7,Box,2077.5
5,2,4,Box,2070.0
29,2,5,Box,2060.0
34,2,1,Box,2045.0
27,5,4,Box,2037.5
31,1,8,Box,2032.5
30,3,7,Box,2030.0
5,2,8,Box,2030.0
1,5,11,Box,2025.0
34,5,6,Box,2017.5
1,2,2,Box,2012.5
26,2,2,Box,1996.7000000000007
31,2,6,Box,1987.5
17,3,11,Box,1970.0
1,5,2,Box,1962.5
11,1,7,Box,1960.0
30,2,12,Box,1950.0
30,4,11,Box,1945.0
26,4,8,Box,1945.0
40,5,8,Box,1937.5
31,5,8,Box,1930.0
15,5,10,Box,1912.5
2,5,8,Box,1910.0
1,4,7,Box,1910.0
5,4,6,Box,1902.5
2,5,7,Box,1897.5
27,2,6,Box,1882.5
17,1,8,Box,1880.0
2,3,4,Box,1877.5
29,1,4,Box,1875.0
30,5,4,Box,1847.5
1,3,5,Box,1845.0
5,3,9,Box,1840.0
27,2,9,Box,1825.0
27,4,2,Box,1822.5
17,1,10,Box,1800.0
2,3,10,Box,1800.0
34,1,8,Box,1790.0
29,3,5,Box,1785.0
17,3,2,Box,1782.5
5,3,8,Box,1782.5
29,2,11,Box,1780.0
11,5,12,Box,1767.5
30,2,5,Box,1760.0
34,4,3,Box,1742.5
26,5,7,Box,1740.0
2,5,9,Box,1735.0
34,5,12,Box,1730.0
11,5,11,Box,1725.0
26,3,9,Box,1720.0
27,4,11,Box,1717.5
14,4,9,Box,1700.0
5,4,11,Box,1700.0
2,1,5,Box,1697.5
1,2,4,Box,1697.5
1,1,9,Box,1687.5
5,1,8,Box,1682.5
30,5,9,Box,1677.5
2,4,3,Box,1675.0
17,4,6,Box,1657.5
40,3,11,Box,1642.5
30,4,9,Box,1637.5
31,3,2,Box,1627.5
34,5,5,Box,1622.5
26,5,8,Box,1605.0
1,4,8,Box,1600.0
31,2,2,Box,1555.0
34,1,3,Box,1545.0
29,2,8,Box,1545.0
34,5,1,Box,1540.0
